iter	Passed	Remaining
0	45	45585
1	77	38636
2	113	37838
3	159	39598
4	194	38633
5	215	35713
6	244	34728
7	278	34535
8	310	34206
9	346	34322
10	373	33620
11	401	33067
12	428	32534
13	459	32338
14	489	32171
15	525	32340
16	554	32067
17	588	32131
18	624	32251
19	659	32332
20	686	32011
21	719	31990
22	752	31969
23	781	31797
24	810	31592
25	844	31619
26	878	31658
27	901	31301
28	931	31187
29	956	30940
30	982	30720
31	1013	30656
32	1044	30604
33	1072	30485
34	1098	30289
35	1143	30621
36	1167	30374
37	1194	30240
38	1225	30201
39	1256	30157
40	1289	30168
41	1321	30144
42	1362	30325
43	1389	30189
44	1412	29982
45	1441	29904
46	1480	30010
47	1526	30268
48	1558	30249
49	1599	30385
50	1631	30350
51	1663	30318
52	1692	30240
53	1718	30104
54	1756	30177
55	1786	30111
56	1821	30142
57	1855	30140
58	1877	29950
59	1911	29941
60	1944	29935
61	1967	29770
62	2001	29772
63	2031	29705
64	2060	29645
65	2091	29596
66	2129	29655
67	2170	29745
68	2201	29709
69	2234	29690
70	2267	29666
71	2306	29731
72	2349	29830
73	2385	29852
74	2419	29842
75	2455	29855
76	2480	29728
77	2519	29785
78	2545	29678
79	2578	29658
80	2609	29609
81	2642	29583
82	2679	29607
83	2714	29602
84	2750	29603
85	2782	29569
86	2805	29439
87	2839	29430
88	2869	29369
89	2897	29298
90	2928	29254
91	2958	29201
92	2990	29164
93	3019	29105
94	3044	29002
95	3077	28978
96	3104	28897
97	3136	28869
98	3164	28799
99	3191	28723
100	3218	28645
101	3240	28532
102	3271	28491
103	3303	28464
104	3338	28460
105	3373	28448
106	3404	28415
107	3440	28419
108	3465	28330
109	3487	28220
110	3522	28215
111	3551	28159
112	3583	28125
113	3608	28043
114	3632	27957
115	3662	27909
116	3696	27898
117	3730	27880
118	3755	27800
119	3787	27776
120	3821	27761
121	3846	27684
122	3879	27660
123	3911	27629
124	3944	27611
125	3967	27521
126	3999	27495
127	4031	27461
